ch1,ch2,ch3,ch4,classification
47.8515625,41.015625,50.29296875,32.71484375,0
36.62109375,37.109375,43.9453125,-3.90625,0
40.52734375,47.36328125,40.52734375,60.05859375,0
45.41015625,54.6875,45.8984375,96.19140625,0
36.1328125,40.52734375,45.41015625,36.1328125,0
34.1796875,40.52734375,20.5078125,-12.20703125,0
33.203125,44.921875,32.71484375,25.87890625,0
26.85546875,41.9921875,59.5703125,71.77734375,0
20.99609375,36.62109375,57.12890625,38.0859375,0
23.4375,37.109375,49.8046875,-13.18359375,0
28.3203125,42.96875,46.38671875,3.41796875,0
40.0390625,41.50390625,40.52734375,75.68359375,0
36.62109375,52.24609375,39.0625,80.56640625,0
22.4609375,55.6640625,54.19921875,2.44140625,0
25.390625,46.38671875,59.5703125,-11.23046875,0
33.203125,44.43359375,35.64453125,62.98828125,0
37.109375,46.38671875,20.01953125,81.0546875,0
27.83203125,43.9453125,48.828125,17.578125,0
20.01953125,35.64453125,69.82421875,-11.23046875,0
24.90234375,30.2734375,56.640625,38.0859375,0
29.296875,33.69140625,50.78125,81.0546875,0
18.06640625,37.59765625,54.19921875,39.0625,0
13.671875,48.828125,41.50390625,-7.8125,0
28.80859375,58.59375,28.80859375,22.4609375,0
30.76171875,58.59375,41.015625,67.87109375,0
15.13671875,39.55078125,42.48046875,38.0859375,0
10.25390625,32.71484375,35.15625,-24.4140625,0
11.23046875,44.921875,40.52734375,-10.7421875,0
13.671875,54.6875,49.31640625,50.78125,0
8.30078125,53.22265625,52.24609375,46.38671875,0
4.39453125,44.43359375,34.1796875,-16.6015625,0
17.578125,44.43359375,23.92578125,-23.92578125,0
21.97265625,52.24609375,43.9453125,41.9921875,0
18.06640625,59.5703125,50.29296875,66.89453125,0
10.7421875,56.15234375,43.45703125,3.41796875,0
12.20703125,51.7578125,44.43359375,-38.0859375,0
22.94921875,41.9921875,34.66796875,25.390625,0
31.73828125,45.41015625,30.76171875,80.078125,0
21.484375,43.9453125,49.8046875,30.2734375,0
20.01953125,40.0390625,50.29296875,-20.5078125,0
30.2734375,41.50390625,33.69140625,12.20703125,0
28.3203125,34.66796875,36.62109375,73.2421875,0
19.53125,44.43359375,40.0390625,56.640625,0
20.99609375,58.59375,26.85546875,-4.8828125,0
26.85546875,55.17578125,37.59765625,-2.44140625,0
19.53125,37.59765625,41.9921875,49.8046875,0
20.99609375,31.73828125,13.671875,53.22265625,0
24.4140625,48.828125,18.5546875,-2.44140625,0
27.34375,52.24609375,52.734375,-12.6953125,0
15.625,41.50390625,62.01171875,43.45703125,0
-13.671875,40.52734375,55.17578125,51.26953125,0
-6.8359375,44.921875,43.9453125,-4.8828125,0
7.8125,34.1796875,32.2265625,-25.390625,0
10.7421875,25.390625,22.4609375,22.94921875,0
12.6953125,39.0625,18.06640625,63.4765625,0
16.6015625,56.640625,37.109375,23.92578125,0
21.97265625,60.05859375,49.8046875,-25.390625,0
24.4140625,54.6875,34.1796875,9.27734375,0
28.3203125,51.26953125,39.55078125,64.453125,0
29.296875,49.31640625,51.26953125,46.875,0
31.73828125,51.7578125,32.2265625,-14.6484375,0
33.203125,48.33984375,27.83203125,-21.97265625,0
34.1796875,46.38671875,42.48046875,38.0859375,0
18.5546875,53.7109375,32.71484375,47.8515625,0
5.859375,47.8515625,29.78515625,-5.37109375,0
7.32421875,34.66796875,28.80859375,-21.484375,0
0.9765625,43.9453125,30.76171875,36.1328125,0
-0.48828125,64.453125,33.69140625,75.1953125,0
3.41796875,61.5234375,11.71875,21.97265625,0
15.625,52.734375,12.20703125,-28.80859375,0
21.97265625,61.03515625,38.57421875,17.08984375,0
11.71875,51.7578125,58.59375,64.453125,0
4.8828125,40.0390625,53.7109375,29.296875,0
9.765625,41.015625,44.921875,-29.78515625,0
16.6015625,46.38671875,49.31640625,-0.48828125,0
20.5078125,56.15234375,41.9921875,69.82421875,0
13.18359375,52.734375,43.45703125,50.78125,0
4.39453125,49.31640625,45.41015625,-23.4375,0
9.27734375,45.8984375,35.15625,-23.4375,0
18.5546875,49.31640625,23.92578125,48.33984375,0
24.4140625,63.4765625,20.5078125,70.3125,0
24.4140625,62.01171875,35.15625,8.7890625,0
22.94921875,59.08203125,38.57421875,-22.94921875,0
20.5078125,54.6875,29.296875,34.1796875,0
11.23046875,27.83203125,30.76171875,70.80078125,0
